City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Takoradi,GH,78.66,4.8845,-1.7554,Raybow International Hotel
2,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Kapaa,US,73.99,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
8,Kloulklubed,PW,84.2,7.0419,134.2556,Storyboard Beach Resort
13,Hilo,US,71.6,19.7297,-155.09,Hilo Hawaiian Hotel
15,Vanimo,PG,83.32,-2.6741,141.3028,Vahmoneh Lodge Vanimo
17,Bandarbeyla,SO,77.52,9.4942,50.8122,JABIR HOTEL
19,Itaituba,BR,73.31,-4.2761,-55.9836,Hotel Campos
22,Micheweni,TZ,82.45,-4.9667,39.8333,
23,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,Busselton,AU,88.14,-33.65,115.3333,Observatory Guest House
29,Victoria,HK,79.0,22.2855,114.1577,Mini Hotel Central
36,Rikitea,PF,79.0,-23.1203,-134.9692,Pension Maro'i
46,Port Blair,IN,86.0,11.6667,92.75,Welcomhotel Bay Island Port Blair
49,Butaritari,KI,81.37,3.0707,172.7902,Isles Sunset Lodge
51,Cabedelo,BR,75.2,-6.9811,-34.8339,Hotel Pigalle
52,Bathsheba,BB,77.0,13.2167,-59.5167,Atlantis Hotel
58,Saint-Philippe,RE,84.0,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Vaini,TO,78.8,-21.2,-175.2,Keleti Beach Resort
60,Alofi,NU,73.4,-19.0595,-169.9187,Taloa Heights
66,Puerto Ayora,EC,75.0,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Nara,JP,70.0,34.6851,135.8049,Guesthouse Nara Komachi
72,Avarua,CK,75.2,-21.2078,-159.775,Paradise Inn
79,Cockburn Town,TC,76.05,21.4612,-71.1419,Osprey Beach Hotel
80,Kahului,US,73.4,20.8947,-156.47,Maui Seaside Hotel
84,Pizarro,CO,76.19,4.9533,-77.366,Hotel Limonar
86,Tondano,ID,86.0,1.3038,124.9112,Villa Bella
87,Sirhind,IN,79.0,30.6456,76.3825,Welcome Hotel
89,Santa Rosa,PH,80.01,14.3122,121.1114,Erlyn’s Sta Rosa City Home
92,Port Alfred,ZA,70.0,-33.5906,26.891,The Halyards Hotel
93,Sur,OM,78.82,22.5667,59.5289,Sur Plaza Hotel
94,Black River,JM,77.0,18.0264,-77.8487,Idlers' Rest Beach Hotel
95,Rotifunk,SL,73.96,8.2333,-12.6833,
99,Quatre Cocos,MU,78.01,-20.2078,57.7625,Emeraude Beach Attitude Hotel
104,Carnarvon,AU,89.6,-24.8667,113.6333,Hospitality Carnarvon
106,Arraial Do Cabo,BR,74.35,-22.9661,-42.0278,Pousada Porto Praia
107,Labuhan,ID,84.67,-6.8844,112.2051,PT PPI Lamongan Tambak C
109,Malayal,PH,84.2,7.207999999999999,121.94200000000001,
114,Faanui,PF,81.64,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Bubaque,GW,76.32,11.2833,-15.8333,"Casa Dora, Bubaque"
116,Banjar,ID,86.0,-8.19,114.9675,The Hamsa Resort
117,Cayenne,GF,77.0,4.9333,-52.3333,Hôtel Le Dronmi
118,Chincha Alta,PE,72.0,-13.4099,-76.1323,Buena Vista Casa Hotel
122,Matara,LK,88.21,5.9485,80.5353,Amaloh Boutique Resort
123,Cidreira,BR,74.66,-30.1811,-50.2056,Hotel Castelo
124,Kavieng,PG,84.85,-2.5744,150.7967,Nusa Island Retreat
126,Kimbe,PG,81.97,-5.5502,150.1429,Kimbe Bay Hotel
127,Hithadhoo,MV,83.14,-0.6,73.0833,Scoop Guest House
132,Maceio,BR,73.4,-9.6658,-35.7353,Poutur Pousada
136,Bairiki,KI,82.4,1.3292,172.9752,Tarawa Boutique Hotel
137,Sungaipenuh,ID,76.91,-2.0833,101.3833,Hotel Jaya Wisata 2
140,Acajutla,SV,77.59,13.5928,-89.8275,asi es
144,Nizwa,OM,78.62,22.9333,57.5333,Orient Apartments
147,Chitapur,IN,86.67,17.1167,77.0833,B M CHINAMALLI.
152,Feira Grande,BR,72.18,-9.8944,-36.6793,Chácara Carneiro
154,Teluk Nibung,ID,85.95,3.0010000000000003,99.8164,Hotel Assyifa
161,Vila Velha,BR,77.0,-20.3297,-40.2925,Quality Suites Vila Velha
163,Quang Ngai,VN,77.25,15.1167,108.8,Central Hotel
165,Nishihara,JP,77.0,26.1842,127.7558,Minshuku Agaihama
168,Esperance,AU,78.8,-33.8667,121.9,Hospitality Esperance
169,Atuona,PF,79.12,-9.8,-139.0333,Villa Enata
170,Hasaki,JP,73.0,35.7333,140.8333,Hotel Sunrise Choshi
173,Chicama,PE,70.99,-7.8447,-79.1469,Hospedaje Punta Cana PERU
177,Atambua,ID,81.32,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
183,Uvira,CD,73.92,-3.4067,29.1458,Hotel Suzana
184,Isangel,VU,81.52,-19.55,169.2667,Volcano Sea View Tree House
185,Matinhos,BR,71.01,-25.8175,-48.5428,Hotel Pousada Girassol
189,Hobyo,SO,79.88,5.3505,48.5268,Halane Hotel and Restaurent
191,Sola,VU,83.48,-13.8833,167.55,Leumerus Bungalows
192,Quelimane,MZ,80.6,-17.8786,36.8883,Hotel Flamingo
197,Innisfail,AU,80.22,-17.5333,146.0333,Moondarra Motel
201,Curup,ID,79.65,-3.4667,102.5333,Ayi The Costel
208,Mogadishu,SO,80.22,2.0371,45.3438,Hotel Juba
209,San-Pedro,CI,75.07,4.7485,-6.6363,Hotel Maria
214,Luanda,AO,75.2,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
215,Tubigan,PH,82.0,8.5322,124.3122,MOONBAY White Beach Resort Co.
216,Road Town,VG,77.0,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
229,Alyangula,AU,84.2,-13.8483,136.4192,Groote Eylandt Lodge
230,Salalah,OM,80.6,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
231,Bonfim,BR,77.81,3.0833,-59.95,
235,Gamba,GA,77.77,-2.65,10.0,
236,Bhakkar,PK,81.68,31.6253,71.0657,Gorcha Nashaib
237,Beloha,MG,87.33,-25.1667,45.05,
238,Bambous Virieux,MU,78.01,-20.3428,57.7575,Casa Tia Villa
239,Broken Hill,AU,80.6,-31.95,141.4333,Royal Exchange Hotel
240,Ataco,CO,72.77,3.5915,-75.3818,Hotel y Restaurante El Ganadero
243,Bambanglipuro,ID,85.8,-7.95,110.2833,Puri Brata
248,Mineros,BO,75.2,-17.1167,-63.2333,Residencial Imperial
249,Guanica,PR,71.01,17.9716,-66.908,Copamarina Beach Resort & Spa
251,Lolodorf,CM,70.74,3.2333,10.7333,Auberge La Decouverte
259,Chapada Dos Guimaraes,BR,80.6,-15.4606,-55.7497,Pousada Morro Dos Ventos
260,Sinnamary,GF,76.35,5.3833,-52.95,ALETHEIA Appartement Sinnamary
263,Bondowoso,ID,83.98,-7.9135,113.8214,Anugerah Hotel Bondowoso
266,Itarema,BR,79.25,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
267,Sao Felix Do Xingu,BR,71.83,-6.6447,-51.995,Rio Xingu Camping
268,Itoman,JP,77.0,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
272,Ballina,AU,86.0,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
281,Waipawa,NZ,71.6,-41.4122,175.5153,Tora Coastal Walk
284,Manaure,CO,75.74,11.7751,-72.4445,Hotel Palaaima
285,Khanewal,PK,75.2,30.3,71.9333,Hakeemabad
286,Azagra,PH,86.0,9.4779,123.1367,La Residencia TJY Hotel and Restaurant
288,Latung,PH,81.01,5.5,120.8833,
295,Campo Verde,BR,73.4,-20.4167,-54.0667,
296,Hambantota,LK,89.6,6.1241,81.1185,Bungalow 63
297,San Pedro,PH,80.01,14.35,121.0167,OYO 412 Viewfort Venue
298,Pisco,PE,72.0,-13.7,-76.2167,Hotel San Isidro Oficial
299,Liling,CN,77.0,27.6667,113.5,Shangri-La Hotel
303,Daru,PG,85.41,-9.0763,143.2092,Daru Lodge
304,Kendari,ID,85.75,-3.945,122.4989,Hotel Wixel
305,Pandan,PH,80.01,14.0453,124.1694,Bonifacio Lodge
307,Harper,LR,78.15,4.375,-7.7169,Screensaver
310,Lorengau,PG,84.85,-2.0226,147.2712,Lorengau Harbourside Hotel
311,Tierralta,CO,74.93,8.1736,-76.0592,Hotel La Marqueza
312,Kulhudhuffushi,MV,82.11,6.6221,73.07,Haajy Guest House 1
313,Siocon,PH,80.91,7.7061,122.1353,ABS Hotel
314,Dalbandin,PK,72.05,28.8947,64.4101,Sanjrani House
316,Keti Bandar,PK,83.64,24.1447,67.4497,Haji laloo memon house
318,Merauke,ID,85.69,-8.4667,140.3333,PC
319,Puerto Colombia,CO,78.8,10.9878,-74.9547,Hotel El Emigrante
322,Mangai,CD,71.13,-4.05,19.5333,
326,Indramayu,ID,83.07,-6.3264,108.32,Grand Trisula Hotel
327,Voh,NC,83.43,-20.9667,164.7,Le gîte du Koniambo
332,Ahuimanu,US,77.0,21.4447,-157.8378,Paradise Bay Resort
335,Olinda,BR,78.8,-8.0089,-34.8553,Hotel Albergue de Olinda
337,Biak,ID,83.89,-0.9131,122.8766,Penginapan Kim
338,Sahibganj,IN,84.87,25.25,87.65,hotel
341,Malakal,SS,78.89,9.5334,31.6605,Nile Palace Hotel
342,Prestea,GH,73.85,5.4327,-2.1428,Channel 5
352,Abu Dhabi,AE,77.0,24.4667,54.3667,Ramee Garden Hotel Apartments
353,Bengkulu,ID,84.7,-3.8004,102.2655,Grage Hotel Bengkulu
356,Kota Bahru,MY,86.0,6.1333,102.2386,Grand Riverview Hotel
361,Antalaha,MG,79.83,-14.9003,50.2788,Hotel Vitasoa
362,Mwandiga,TZ,71.6,-4.83,29.6581,One Point
363,Narasannapeta,IN,89.58,18.4167,84.05,G.lingaraju home
371,Wanning,CN,75.11,18.8003,110.3967,Paradise Hotel
376,Touros,BR,77.0,-5.1989,-35.4608,INN NEW HORIZON
385,Morondava,MG,82.71,-20.2833,44.2833,La Case Bambou
386,Jishou,CN,80.01,28.3167,109.7167,7Days Inn Jishou Railway Station
393,Mana,GF,76.44,5.6592,-53.7767,LE SAMANA
396,Teknaf,BD,84.25,20.8624,92.3058,Forestry Guesthouse
397,Sembe,CG,71.17,1.6481,14.5806,
401,Davila,PH,80.6,18.4726,120.5763,Blue Ridge Beach Resort
402,Barinas,VE,79.88,8.6226,-70.2075,Hotel Suites Mastranto
403,Buchanan,LR,78.1,5.8808,-10.0467,Kamaneahn Hotel Inc
408,Kenda,IN,80.6,23.2,86.5333,Gouranga Hindu Hotel
410,Tuy Hoa,VN,74.43,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
414,Serra Talhada,BR,70.97,-7.9919,-38.2983,Pousada São Luiz
415,Lahat,ID,85.17,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
417,Portobelo,PA,75.0,9.55,-79.65,Scuba Portobelo
421,Voi,KE,76.19,-3.3945,38.563,Voi Wildlife Lodge
422,Sechura,PE,73.33,-5.5569,-80.8222,Hospedaje Costa Bella
423,Kalmunai,LK,83.68,7.4167,81.8167,VS Villa
425,Bhor,IN,84.02,18.1667,73.85,Adventure Plus Resort & Park.
426,Ambon,ID,84.2,-3.6954,128.1814,Swiss-Belhotel Ambon
429,Haapiti,PF,80.01,-17.5667,-149.8667,Linareva Moorea Beach Resort
431,Tura,IN,86.45,25.5198,90.2201,Hotel RIKMAN Continental
434,Mattru,SL,74.32,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
435,Araouane,ML,71.58,18.9048,-3.5265,
440,Puerto Ayacucho,VE,77.32,5.6639,-67.6236,Posada Turistica Manapiare
441,San Carlos,VE,70.45,9.6612,-68.5827,Hotel Paternopoli
443,Trinidad,BO,73.13,-14.8333,-64.9,Hotel Piesta
450,Honiara,SB,83.62,-9.4333,159.95,Heritage Park Hotel
453,Nago,JP,77.0,26.5881,127.9761,Hotel Yugaf Inn Okinawa
454,Mitsamiouli,KM,82.63,-11.3847,43.2844,Foyer ADM
455,Ilhabela,BR,74.98,-23.7781,-45.3581,Ilha Flat Hotel
456,Fare,PF,80.96,-16.7,-151.0167,Maitai Lapita Village Huahine
458,Moengo,SR,72.52,5.6167,-54.4,Masanga
460,San Matias,BO,76.42,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
461,Puerto Suarez,BO,72.57,-18.95,-57.8,Hotel casa real
462,Padang,ID,89.6,-0.9492,100.3543,Mercure Padang
465,Sibu,MY,86.0,2.3,111.8167,RH HOTEL (4 Star)
466,Miri,MY,84.2,4.4148,114.0089,"Mega Hotel, Miri"
474,Sainte-Marie,RE,82.4,-20.8968,55.5496,Les pailles en queue de Sainte Marie
475,Khulna,BD,88.95,22.8135,89.5672,Hotel Jalico
476,Ginda,IN,71.37,30.6945,78.4932,Bal uma sankar hotel and restaurant
478,Cururupu,BR,74.86,-1.8283,-44.8683,Pousada Través'cia
483,Srikakulam,IN,89.28,18.3,83.9,Sriram residency
496,Tabuk,PH,82.63,17.4189,121.4443,Golden Berries Hotel and Convention
505,Cravo Norte,CO,80.42,6.3017,-70.2041,Hotel Potosí Los Mirtos
511,Lucea,JM,77.0,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
514,Kankan,GN,72.7,10.3854,-9.3057,Hotel Bate
518,Obo,CF,71.1,5.3998,26.4869,
519,Ciudad Bolivar,VE,76.39,8.1222,-63.5497,Hotel Edi
520,San Carlos Del Zulia,VE,73.35,9.0,-71.9135,Hotel El Manantial
521,Boca Do Acre,BR,71.85,-8.7522,-67.3978,Hotel Sao Pedro
533,Alimono,PH,78.12,11.1856,122.7147,
540,Rafai,CF,70.79,4.95,23.9167,
542,Sabang,ID,81.88,5.8933,95.3214,Hotel Citra
545,Kieta,PG,82.67,-6.2167,155.6333,Uruna Bay Retreat
549,Vao,NC,79.99,-22.6667,167.4833,Hotel Kou-Bugny
554,Coolum Beach,AU,84.99,-26.5333,153.1,Palmer Coolum Resort
555,Berbera,SO,75.63,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
560,Kununurra,AU,89.6,-15.7667,128.7333,Hotel Kununurra
561,Pauini,BR,72.07,-7.7136,-66.9764,Casa do Kiwliks
563,Port Macquarie,AU,84.2,-31.4333,152.9167,Rydges Port Macquarie
567,Tautira,PF,80.01,-17.7333,-149.15,Pension Oaoa
568,Yangmei,CN,77.85,24.1023,112.5618,
572,Bhinmal,IN,88.88,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
574,Port Shepstone,ZA,71.08,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
577,Eyl,SO,79.09,7.9803,49.8164,Amiin Hotel
578,Bima,ID,87.85,-8.4667,118.7167,Lambitu Hotel
581,Karonga,MW,71.67,-9.9333,33.9333,Sumuka Inn
583,Jambi,ID,87.31,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
586,Parola,IN,88.92,20.8833,75.1167,"Krushana Papad & Shevai Kendra, PAROLA"
593,Saint-Pierre,RE,86.0,-21.3393,55.4781,Lindsey Hôtel
594,Okato,NZ,71.01,-39.2,173.8833,Goodin Country Garden
595,Razole,IN,86.0,16.4833,81.8333,Sterling Palavelli Godavari
597,Kerema,PG,85.3,-7.9631,145.7785,Frena Lodge
598,Soyo,AO,77.07,-6.1349,12.3689,Hotel Mpampa
600,Lalmohan,BD,82.96,22.3384,90.7419,Sundorbon courier service
601,Rancharia,BR,75.2,-22.2292,-50.8931,Eros Motel
603,Kandrian,PG,85.41,-6.2167,149.55,Kandrian Station
604,Jacmel,HT,71.6,18.2342,-72.5347,Hotel Florita
605,Grand Gaube,MU,78.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
609,Jutai,BR,72.1,-5.1833,-68.9,
611,Naze,JP,73.4,28.3667,129.4833,奄美ポートタワーホテル
616,Takanabe,JP,71.6,32.1333,131.5,Hotel AZ Miyazaki Takanabe
618,Flinders,AU,75.0,-34.5833,150.8552,Shellharbour Resort & Conference Centre
622,Cabo Rojo,PR,71.01,18.0866,-67.1457,Hotel Perichi's
626,San Mateo Del Mar,MX,73.09,16.2,-95.0,
627,Ormara,PK,76.95,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
630,Banyumas,ID,88.21,-7.5142,109.2942,base camp driver online banyumas GEL
633,Domoni,KM,83.89,-12.2569,44.5319,Al Djadid
638,Breves,BR,72.86,-1.6822,-50.4803,Hotel e Restaurante Grill
640,Abohar,IN,87.44,30.15,74.1833,OYO 37129 Hotel Piccadily
641,Zhuhai,CN,84.99,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
642,Acapulco,MX,73.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Ambilobe,MG,83.55,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
648,Kirakira,SB,83.41,-10.4544,161.9205,SanBiz Lodge
649,Mecca,SA,72.16,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
650,Viga,PH,80.19,13.8719,124.3091,Ning Ning Olarte Ferma
652,Phalombe,MW,76.17,-15.8064,35.6507,RIVONIA
654,Talara,PE,73.65,-4.5772,-81.2719,Hostal Oro Negro
658,Tabou,CI,77.56,4.423,-7.3528,hotêl doufoulougou
659,Namatanai,PG,84.83,-3.6667,152.4333,Namatanai Hotel
662,Sambava,MG,79.83,-14.2667,50.1667,Melrose
664,Akyab,MM,83.3,20.15,92.9,Hotel Memory
665,Conde,BR,75.2,-7.2597,-34.9075,Pousada Beija Flor
667,Zemio,CF,72.21,5.0314,25.1361,OCHA Office
668,Linqiong,CN,77.0,30.4159,103.4609,Tianlun Tanxianglou Hotel
669,Porto Novo,BJ,80.6,6.4965,2.6036,Tour Eiffel Hotel Benin
673,Paita,PE,73.02,-5.0892,-81.1144,Hotel Náutico de Paita
676,Makokou,GA,71.56,0.5738,12.8642,WAMY RESIDENCE HOTEL
679,Miramar,US,71.01,25.9873,-80.2323,Miramar
680,Salinopolis,BR,78.55,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
682,Port Moresby,PG,86.0,-9.4431,147.1797,Lamana Hotel
685,Metro,ID,86.72,-5.1131,105.3067,OYO 3177 Wisma Lintang
686,Thanatpin,MM,89.6,17.2119,96.3033,Lo Ta Ya Garden
688,Kitgum,UG,78.71,3.2783,32.8867,Jaflo Gardens Hotel
690,Magdalena,PH,80.01,14.1999,121.429,Samparada & Gestiada Residences
692,Senador Jose Porfirio,BR,73.4,-2.5908,-51.9542,Pousada Novo Horizonte
693,Tulum,MX,74.25,20.2167,-87.4667,Kin Ha Tulum
695,Sulya,IN,82.4,12.5667,75.3833,KFDC Guest House - Karnataka Forest Development Corporation Ltd
696,Dwarka,IN,81.84,22.2394,68.9678,Hotel Narayan Avezika Comfort
701,Lima,PE,72.0,-12.0432,-77.0282,Gran Hotel Bolivar Lima
702,Nha Trang,VN,82.4,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
705,Sao Filipe,CV,70.34,14.8961,-24.4956,Tortuga B&B
